Current WB Status & Gavi Eligibility,Country (group),ISO,Vaccine,Vaccine Sub-type,Routine / Campaign,Year,# Doses,Total Required Supply
Gavi Eligible,Burkina Faso,BFA,bOPV,bOPV,Routine,2026,4,4303931.67156716
Gavi Eligible,Burkina Faso,BFA,bOPV,bOPV,Routine,2025,4,4241857.90414179
Gavi Eligible,Burkina Faso,BFA,bOPV,bOPV,Routine,2024,4,4184670.80533582
Gavi Eligible,Burkina Faso,BFA,bOPV,bOPV,Routine,2023,4,4132463.27164179
Gavi Eligible,Burkina Faso,BFA,bOPV,bOPV,Routine,2022,4,4043600.75313433
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Campaign,2022,1,4471118
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2032,3,1697946.75
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2031,3,1630789.6875
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2030,3,1565169.05
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2029,3,1501121.0625
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2028,3,1438334.8375
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2027,3,1378101.8125
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2026,3,1322198.5875
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2025,3,1270004.1375
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2024,3,1221631.675
Gavi Eligible,Burkina Faso,BFA,Covid-19,Covid-19,Routine,2023,3,1170398.5
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2032,3,3056006.135
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2031,3,3024529.41
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2030,3,2993453.7675
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2029,3,2956419.2875
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2028,3,2918164.34
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2027,3,2885331.54
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2026,3,2849645.2425
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2025,3,2816228.3975
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2024,3,2785975.7275
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2023,3,2760711.205
Gavi Eligible,Burkina Faso,BFA,DTwP-HepB-Hib,DTwP-HepB-Hib,Routine,2022,3,2703203.8775
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Campaign,2022,2,2934691.58306064
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Routine,2032,1,287813.756274758
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Routine,2031,1,280939.405055784
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Routine,2030,1,272965.579265732
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Routine,2029,1,269483.421321165
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Routine,2028,1,266062.822221455
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Routine,2027,1,261975.814162964
Gavi Eligible,Burkina Faso,BFA,HPV,HPV4,Routine,2026,1,265934.258482104
